idx1,idx2,EMED,FGTED,Group,(EMED - FGTED),sum Diameter,corrected
10,11,102.2,89.719537,1.0,12.480463,145.42,114.65246246457083
10,12,119.24,101.81203,1.0,17.427970000000002,159.93,131.0776955305542
10,13,93.98,75.945266,1.0,18.034734,181.67,111.70257653637627
10,14,132.72,115.025,1.0,17.694999999999993,113.49,130.42350848959848
10,15,112.46,79.542985,1.0,32.91701499999999,187.46,117.02921111060395
10,16,107.19,84.473333,1.0,22.716667,170.86,117.00273725703236
10,17,118.52,86.165759,1.0,32.354241,179.59,121.30197378604923
10,18,137.55,93.614879,1.0,43.93512100000001,189.37,131.6714382274908
10,19,124.97,85.046421,1.0,39.923579000000004,186.4,122.21612716091805
11,12,97.13,85.6145,1.0,11.515499999999989,140.51,109.08128116932767
11,13,116.54,88.307829,1.0,28.232171000000008,162.25,118.26625517514974
11,14,136.3,120.59457,1.0,15.705430000000007,94.07,130.19419412837192
11,15,96.2,71.458958,1.0,24.741042000000007,168.04,103.14629974937742
11,16,120.59,96.147209,1.0,24.442791,151.44,122.87772889580582
11,17,103.86,83.27847700000001,1.0,20.58152299999999,160.17,112.6158074248227
11,18,96.58,76.064077,1.0,20.515923,169.95,108.32175186626428
11,19,127.58,90.01263399999999,1.0,37.56736600000001,166.98,121.38345579969153
12,13,91.68,58.061826,1.0,33.618174,176.76,92.35299224113311
12,14,138.12,119.0792,1.0,19.040800000000004,108.58,133.0115641943553
12,15,120.17,85.97330900000001,1.0,34.19669099999999,182.55,121.99339081536083
12,16,125.63,95.365633,1.0,30.264366999999993,165.95,126.4288929617892
12,17,112.85,77.402462,1.0,35.447537999999994,174.68,111.07253249080607
12,18,113.09,76.32133,1.0,36.76867,184.46,112.91174493224766
12,19,116.56,78.934262,1.0,37.625738,181.49,114.63782386567492
13,14,122.98,98.02851500000001,1.0,24.95148499999999,130.32,118.4525242001774
13,15,111.61,67.354378,1.0,44.255622,204.29,109.86610482118287
13,16,111.48,73.135492,1.0,38.344508000000005,187.69,110.69039696761128
13,17,95.5,59.080642,1.0,36.419358,196.42,99.24235749662814
13,18,111.22,63.030981000000004,1.0,48.189018999999995,206.2,106.11304093806973
13,19,92.56,55.47679,1.0,37.08321,203.23,97.67199687149697
