idx1 idx2 fgted time1 time2
0 1 4152.792386335464 3.7250113487243652 262.85079407691956
0 2 4727.526895924558 3.959808588027954 329.9158470630646
0 3 5969.489146259794 7.438041687011719 300.3599305152893
0 4 3889.380755899331 4.020635604858398 393.48065996170044
0 5 5644.458918133464 3.0657217502593994 275.36012411117554
0 6 5191.151327067504 3.521397352218628 299.3351333141327
0 7 4725.103926733965 6.6684956550598145 353.48973202705383
0 8 5882.731867591158 3.7788844108581543 341.48506689071655
0 9 5033.031223036674 3.8719518184661865 289.4016942977905
1 2 3399.6862567628427 7.9727559089660645 480.611528635025
1 3 3270.8739313912233 4.346855163574219 414.2246415615082
1 4 2398.815419812022 9.278357744216919 497.621426820755
1 5 3904.361673951437 4.45271372795105 385.6537082195282
1 6 3151.2777183298053 8.411196947097778 510.6804802417755
1 7 2652.479516798776 5.740230083465576 577.1514217853546
1 8 2615.015124841607 5.776298999786377 650.8859946727753
1 9 3048.0789567765346 5.282016277313232 572.0138118267059
2 3 4531.129465958685 8.369855403900146 573.7507948875427
2 4 2618.3099586850553 5.345320463180542 682.0670042037964
2 5 3590.626413940906 4.369448900222778 582.6877338886261
2 6 2333.134440410826 6.486074209213257 549.8580722808838
2 7 2348.4777979668174 5.271345615386963 513.3573064804077
2 8 4181.989118824973 4.814695119857788 477.7304480075836
2 9 2358.3191123503207 5.0605340003967285 485.2121772766113
3 4 3824.5822897988514 4.218936204910278 396.3698318004608
3 5 4551.486932347263 3.9590635299682617 369.50317192077637
3 6 4577.479881144855 4.587749719619751 461.8683741092682
3 7 3041.9891232185046 4.546348333358765 349.94566679000854
3 8 2253.1220522860854 5.411444425582886 444.75189232826233
3 9 3630.7733663997456 4.793396472930908 471.1501576900482
4 5 2497.1564262443244 4.640138864517212 600.7210373878479
4 6 2283.069127093146 5.233802318572998 651.7171792984009
4 7 2165.2208006210103 5.605123996734619 662.8434660434723
4 8 3118.046814825769 5.424809455871582 715.6881968975067
4 9 2323.1521412129596 5.499516725540161 717.4366717338562
5 6 2590.3144979054587 4.796512603759766 356.2566511631012
5 7 2775.9417324528285 5.198310613632202 581.2687389850616
5 8 3784.3639059806933 4.642009735107422 482.6263942718506
5 9 2551.9520702366467 5.116073131561279 530.3464648723602
6 7 2310.0064056727315 5.060152530670166 691.6228785514832
6 8 3481.0854376653315 4.979124069213867 642.2302350997925
6 9 1915.181398764892 5.394043445587158 588.1216781139374
7 8 2615.3029917976482 5.143962860107422 743.1248333454132
7 9 1324.7400933514746 5.409701347351074 770.8073799610138
8 9 2904.9395659494353 5.445797681808472 631.7292213439941
10 11 4206.328683061609 3.036389112472534 229.54455542564392
10 12 4859.1854169244825 5.771289587020874 290.61948585510254
10 13 3610.85503537505 7.867592811584473 330.8413429260254
10 14 5327.897859169959 7.919382810592651 293.5104172229767
10 15 3781.741420092941 7.680819511413574 266.9041385650635
10 16 3926.2284932302728 5.360395193099976 338.44501066207886
10 17 3838.0387172297324 5.299826145172119 387.2058472633362
10 18 4269.284922488086 4.834470510482788 430.73002195358276
